date,username,time,task,computer,stimfile
01/25/2016,gru,25-Jan-2016 11:19:06,mglRetinotopy.m,oban.stanford.edu,~/data/mglRetinotopy/s024/160125_stim01.mat
01/25/2016,gru,25-Jan-2016 11:24:33,mglRetinotopy.m,oban.stanford.edu,~/data/mglRetinotopy/s024/160125_stim02.mat
01/25/2016,gru,25-Jan-2016 11:29:47,mglRetinotopy.m,oban.stanford.edu,~/data/mglRetinotopy/s024/160125_stim03.mat
01/25/2016,gru,25-Jan-2016 11:34:41,mglRetinotopy.m,oban.stanford.edu,~/data/mglRetinotopy/s024/160125_stim04.mat
01/25/2016,gru,25-Jan-2016 11:39:42,mglRetinotopy.m,oban.stanford.edu,~/data/mglRetinotopy/s024/160125_stim05.mat
01/25/2016,gru,25-Jan-2016 11:44:41,mglRetinotopy.m,oban.stanford.edu,~/data/mglRetinotopy/s024/160125_stim06.mat
01/25/2016,gru,25-Jan-2016 11:49:33,mglRetinotopy.m,oban.stanford.edu,~/data/mglRetinotopy/s024/160125_stim07.mat
01/25/2016,gru,25-Jan-2016 11:54:29,mglRetinotopy.m,oban.stanford.edu,~/data/mglRetinotopy/s024/160125_stim08.mat
02/22/2016,gru,22-Feb-2016 20:56:51,weijima2.m,oban.stanford.edu,~/data/weijima2/s024/160222_stim01.mat
02/22/2016,gru,22-Feb-2016 21:03:23,weijima2.m,oban.stanford.edu,~/data/weijima2/s024/160222_stim02.mat
02/22/2016,gru,22-Feb-2016 21:05:30,weijima2.m,oban.stanford.edu,~/data/weijima2/s024/160222_stim03.mat
02/22/2016,gru,22-Feb-2016 21:14:31,weijima2.m,oban.stanford.edu,~/data/weijima2/s024/160222_stim04.mat
02/22/2016,gru,22-Feb-2016 21:14:42,weijima2.m,oban.stanford.edu,~/data/weijima2/s024/160222_stim05.mat
02/22/2016,gru,22-Feb-2016 21:21:57,weijima2.m,oban.stanford.edu,~/data/weijima2/s024/160222_stim06.mat
02/22/2016,gru,22-Feb-2016 21:22:48,weijima2.m,oban.stanford.edu,~/data/weijima2/s024/160222_stim07.mat
02/22/2016,gru,22-Feb-2016 21:25:23,weijima2.m,oban.stanford.edu,~/data/weijima2/s024/160222_stim08.mat
02/22/2016,gru,22-Feb-2016 21:27:21,weijima2.m,oban.stanford.edu,~/data/weijima2/s024/160222_stim09.mat
02/22/2016,gru,22-Feb-2016 21:33:02,weijima2.m,oban.stanford.edu,~/data/weijima2/s024/160222_stim10.mat
02/22/2016,gru,22-Feb-2016 21:39:39,weijima2.m,oban.stanford.edu,~/data/weijima2/s024/160222_stim11.mat
02/22/2016,gru,22-Feb-2016 21:46:10,weijima2.m,oban.stanford.edu,~/data/weijima2/s024/160222_stim12.mat
02/22/2016,gru,22-Feb-2016 21:47:08,weijima2.m,oban.stanford.edu,~/data/weijima2/s024/160222_stim13.mat
02/22/2016,gru,22-Feb-2016 21:53:14,weijima2.m,oban.stanford.edu,~/data/weijima2/s024/160222_stim14.mat
02/22/2016,gru,22-Feb-2016 21:54:18,weijima2.m,oban.stanford.edu,~/data/weijima2/s024/160222_stim15.mat
02/22/2016,gru,22-Feb-2016 22:00:47,weijima2.m,oban.stanford.edu,~/data/weijima2/s024/160222_stim16.mat
04/04/2016,gru,04-Apr-2016 21:08:21,cohcon_localizer.m,oban.stanford.edu,~/data/cohcon_localizer/s024/160404_stim18.mat
04/04/2016,gru,04-Apr-2016 21:17:10,cohcon_localizer.m,oban.stanford.edu,~/data/cohcon_localizer/s024/160404_stim19.mat
04/04/2016,gru,04-Apr-2016 21:24:52,cohcon_localizer.m,oban.stanford.edu,~/data/cohcon_localizer/s024/160404_stim20.mat
04/04/2016,gru,04-Apr-2016 21:32:24,cohcon_localizer.m,oban.stanford.edu,~/data/cohcon_localizer/s024/160404_stim21.mat
04/04/2016,gru,04-Apr-2016 21:39:56,cohcon_localizer.m,oban.stanford.edu,~/data/cohcon_localizer/s024/160404_stim22.mat
04/04/2016,gru,04-Apr-2016 21:47:31,cohcon_localizer.m,oban.stanford.edu,~/data/cohcon_localizer/s024/160404_stim23.mat
04/04/2016,gru,04-Apr-2016 21:55:05,cohcon_localizer.m,oban.stanford.edu,~/data/cohcon_localizer/s024/160404_stim24.mat
04/04/2016,gru,04-Apr-2016 22:02:57,cohcon_localizer.m,oban.stanford.edu,~/data/cohcon_localizer/s024/160404_stim25.mat
04/10/2016,gru,10-Apr-2016 12:37:01,cohcon_localizer.m,oban.stanford.edu,~/data/cohcon_localizer/s024/160410_stim01.mat
04/10/2016,gru,10-Apr-2016 12:46:19,cohcon_localizer.m,oban.stanford.edu,~/data/cohcon_localizer/s024/160410_stim02.mat
04/10/2016,gru,10-Apr-2016 12:54:56,cohcon_localizer.m,oban.stanford.edu,~/data/cohcon_localizer/s024/160410_stim03.mat
04/10/2016,gru,10-Apr-2016 13:03:30,cohcon_localizer.m,oban.stanford.edu,~/data/cohcon_localizer/s024/160410_stim04.mat
04/10/2016,gru,10-Apr-2016 13:12:16,cohcon_localizer.m,oban.stanford.edu,~/data/cohcon_localizer/s024/160410_stim05.mat
04/10/2016,gru,10-Apr-2016 13:20:50,cohcon_localizer.m,oban.stanford.edu,~/data/cohcon_localizer/s024/160410_stim06.mat
04/10/2016,gru,10-Apr-2016 13:29:20,cohcon_localizer.m,oban.stanford.edu,~/data/cohcon_localizer/s024/160410_stim07.mat
04/10/2016,gru,10-Apr-2016 13:38:34,cohcon_localizer.m,oban.stanford.edu,~/data/cohcon_localizer/s024/160410_stim08.mat
04/10/2016,gru,10-Apr-2016 13:47:14,cohcon_localizer.m,oban.stanford.edu,~/data/cohcon_localizer/s024/160410_stim09.mat
04/10/2016,gru,10-Apr-2016 13:56:01,cohcon_localizer.m,oban.stanford.edu,~/data/cohcon_localizer/s024/160410_stim10.mat
